TURNO NEGRO
8 a TORRE_NEGRO
8 b CABALLO_NEGRO
8 c ALFIL_NEGRO
8 d REINA_NEGRO
8 e REY_NEGRO
8 g CABALLO_NEGRO
8 h TORRE_NEGRO
7 a PEON_NEGRO
5 b PEON_NEGRO
3 b PEON_NEGRO
3 d PEON_NEGRO
7 c PEON_NEGRO
7 e PEON_NEGRO
7 g PEON_NEGRO
7 h PEON_NEGRO
5 d PEON_NEGRO
5 e ALFIL_NEGRO
5 f PEON_NEGRO
4 c ALFIL_BLANCO
4 e PEON_BLANCO
3 g PEON_BLANCO
2 a PEON_BLANCO
2 b PEON_BLANCO
2 c PEON_BLANCO
3 e PEON_BLANCO
2 f PEON_BLANCO
2 h PEON_BLANCO
1 a TORRE_BLANCO
1 b CABALLO_BLANCO
1 c ALFIL_BLANCO
1 d REINA_BLANCO
1 e REY_BLANCO
1 g CABALLO_BLANCO
1 h TORRE_BLANCO
