TURNO NEGRO
8 a TORRE_NEGRO
8 c ALFIL_NEGRO
8 d REINA_NEGRO
8 e REY_NEGRO
8 f ALFIL_NEGRO
8 h TORRE_NEGRO
7 a PEON_NEGRO
7 b PEON_NEGRO
7 c PEON_NEGRO
7 d PEON_NEGRO
7 e PEON_NEGRO
7 f PEON_NEGRO
7 g PEON_NEGRO
7 h PEON_NEGRO
6 a CABALLO_NEGRO
6 f CABALLO_NEGRO
3 a CABALLO_BLANCO
3 f CABALLO_BLANCO
5 d CABALLO_BLANCO
3 d CABALLO_NEGRO
2 a PEON_BLANCO
2 b PEON_BLANCO
2 c PEON_BLANCO
2 d PEON_BLANCO
2 e PEON_BLANCO
2 f PEON_BLANCO
2 g PEON_BLANCO
2 h PEON_BLANCO
1 a TORRE_BLANCO
1 c ALFIL_BLANCO
1 d REINA_BLANCO
1 e REY_BLANCO
1 f ALFIL_BLANCO
1 h TORRE_BLANCO
